Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
34586.55,48263.4,32100.14,68044.7,55521.19,70947.38,57384.52,57909.97
34581.45,48267.7,32089.41,68061.33,55528.7,70947.92,57394.72,57909.7
34563.22,48262.33,32076.0,68066.15,55559.01,70947.38,57427.17,57908.63
34560.0,48251.87,32081.64,68049.79,55566.25,70942.02,57437.9,57908.36
34574.75,48254.55,32093.71,68037.19,55543.99,70942.29,57415.37,57908.63
34587.89,48265.28,32097.73,68046.04,55522.0,70948.72,57389.62,57906.75
34582.8,48269.84,32087.8,68063.2,55530.85,70950.87,57398.47,57908.63
34565.09,48262.6,32074.93,68066.42,55557.94,70947.92,57429.05,57908.9
34559.73,48254.55,32077.88,68051.67,55568.13,70944.16,57441.66,57911.04
34574.21,48256.7,32093.71,68036.38,55543.99,70942.02,57420.2,57911.85
34587.36,48266.62,32098.8,68043.62,55520.66,70944.7,57392.84,57912.11
34578.77,48271.99,32085.12,68064.81,55530.85,70950.6,57400.89,57912.11
34562.68,48264.48,32076.0,68068.03,55559.01,70948.99,57430.93,57911.85
34559.19,48254.55,32080.29,68051.13,55568.13,70942.82,57443.26,57913.72
34573.41,48255.36,32093.97,68038.53,55547.48,70943.09,57421.27,57916.41
34589.5,48265.55,32101.75,68045.23,55523.07,70946.85,57394.98,57918.55
34583.6,48270.38,32091.83,68063.47,55529.78,70949.26,57403.03,57917.21
34565.09,48264.48,32075.2,68068.03,55559.55,70948.99,57433.88,57914.8
34558.66,48256.7,32075.2,68057.03,55573.76,70948.46,57445.95,57914.53
34573.41,48260.19,32088.88,68045.5,55554.99,70951.41,57423.42,57918.55
34588.7,48269.57,32098.53,68054.89,55530.85,70955.97,57396.86,57919.62
34583.33,48275.74,32088.88,68074.2,55539.43,70961.33,57403.84,57919.09
34566.97,48268.5,32078.95,68079.3,55567.86,70959.99,57434.68,57919.62
34563.75,48259.38,32084.59,68061.33,55575.37,70954.36,57446.22,57919.62
34581.19,48261.79,32101.48,68047.11,55552.04,70953.82,57423.15,57923.11
34596.21,48272.25,32108.46,68055.43,55527.9,70958.11,57396.86,57926.06
34590.84,48277.89,32096.39,68075.81,55535.95,70964.28,57404.91,57927.14
34572.07,48272.79,32080.56,68084.66,55567.86,70966.16,57436.56,57927.14
34569.12,48261.79,32087.54,68064.81,55573.76,70955.97,57447.82,57927.94
34584.14,48261.26,32103.36,68044.7,55545.33,70950.07,57424.22,57929.28
34598.62,48269.84,32110.87,68050.06,55516.9,70951.67,57396.86,57927.4
34592.45,48273.86,32098.27,68068.03,55523.88,70954.63,57404.1,57928.48
34573.94,48267.16,32082.44,68074.2,55552.84,70954.36,57436.29,57929.28
34567.51,48260.72,32082.17,68061.33,55566.79,70952.75,57452.12,57931.43
34580.65,48263.67,32093.44,68050.6,55549.36,70956.5,57432.0,57937.33
34595.94,48275.47,32104.43,68058.38,55526.83,70961.87,57405.71,57939.74
34590.84,48280.57,32094.24,68076.61,55533.26,70963.74,57412.42,57939.21
34573.14,48272.79,32080.29,68080.91,55561.16,70960.26,57444.87,57938.13
34566.97,48264.74,32082.98,68064.81,55568.4,70954.89,57457.48,57938.67
34581.99,48264.48,32096.92,68049.79,55543.99,70952.48,57433.07,57939.47
34597.55,48273.86,32105.78,68054.35,55518.51,70955.16,57404.91,57937.86
34592.18,48278.69,32094.78,68072.05,55525.22,70958.65,57411.08,57935.72
34573.68,48273.6,32080.83,68077.42,55554.18,70955.97,57442.73,57938.4
34566.97,48266.09,32081.64,68063.2,55566.79,70952.48,57456.41,57942.69
34580.65,48268.5,32093.97,68050.06,55546.67,70952.21,57434.15,57943.5
34598.08,48278.69,32104.17,68055.69,55522.27,70954.89,57407.32,57944.84
34593.26,48283.52,32095.85,68072.86,55525.75,70955.43,57413.49,57944.03
34575.55,48275.47,32083.51,68074.2,55550.43,70949.26,57444.34,57943.23
34570.46,48266.09,32086.46,68056.23,55558.48,70941.48,57457.21,57942.69
34584.14,48266.09,32099.61,68041.21,55534.87,70936.65,57434.41,57943.5
34596.74,48276.81,32103.36,68049.26,55512.07,70939.87,57407.32,57945.11
34593.26,48285.4,32094.24,68069.37,55517.97,70945.51,57412.96,57945.37
